,field_year,field_category,field_publication,title,field_abbr_citation
929,1933,Editorial Cartooning,Washington Daily News,H. M. Talburt,For &quot;The Light of Asia.&quot;
930,1932,Editorial Cartooning,Chicago Tribune,John T. McCutcheon,For &quot;A Wise Economist Asks a Question.&quot;
931,1931,Editorial Cartooning,The Baltimore Sun,Edmund Duffy,For &quot;An Old Struggle Still Going On.&quot;
932,1930,Editorial Cartooning,Brooklyn Daily Eagle,Charles R. Macauley,For &quot;Paying for a Dead Horse.&quot;
933,1929,Editorial Cartooning,New York World,Rollin Kirby,For &quot;Tammany.&quot;
934,1928,Editorial Cartooning,Brooklyn Daily Eagle,Nelson Harding,For &quot;May His Shadow Never Grow Less.&quot;
935,1927,Editorial Cartooning,Brooklyn Daily Eagle,Nelson Harding,For &quot;May His Shadow Never Grow Less.&quot;
936,1926,Editorial Cartooning,St. Louis Post-Dispatch,D. R. Fitzpatrick,For &quot;The Laws of Moses and the Laws of Today.&quot;
937,1925,Editorial Cartooning,New York World,Rollin Kirby,For &quot;News from the Outside World.&quot;
938,1924,Editorial Cartooning,Des Moines Register &amp; Tribune,Jay Norwood Darling,For &quot;In Good Old USA.&quot;
939,1922,Editorial Cartooning,New York World,Rollin Kirby,For &quot;On the Road to Moscow.&quot;
940,2020,Breaking News Photography,,Photography Staff of Reuters,For wide-ranging and illuminating photographs of Hong Kong as citizens protested infringement of their civil liberties and defended the region’s autonomy by the Chinese government.
941,2019,Breaking News Photography,,Photography Staff of Reuters,"For a vivid and startling visual narrative of the urgency, desperation and sadness of migrants as they journeyed to the U.S. from Central and South America."
942,2018,Breaking News Photography,,Ryan Kelly of The Daily Progress,"For a chilling image that reflected the photographer’s reflexes and concentration in capturing the moment of impact of a car attack during a racially charged protest in Charlottesville, Va."
943,2017,Breaking News Photography,,"Daniel Berehulak, freelance photographer",For powerful storytelling through images published in The New York Times showing the callous disregard for human life in the Philippines brought about by a government assault on drug dealers and users. (Moved into this category from Feature Photography by the nominating jury.)
944,2016,Breaking News Photography,The New York Times,"Mauricio Lima, Sergey Ponomarev, Tyler Hicks and Daniel Etter","For photographs that captured the resolve of refugees, the perils of their journeys and the struggle of host countries to take them in."
945,2016,Breaking News Photography,,Photography Staff of Reuters,"For gripping photographs, each with its own voice, that follow migrant refugees hundreds of miles across uncertain boundaries to unknown destinations."
946,2015,Breaking News Photography,St. Louis Post-Dispatch,Photography Staff,"For powerful images of the despair and anger in Ferguson, MO, stunning photojournalism that served the community while informing the country."
947,2014,Breaking News Photography,The New York Times,Tyler Hicks,For his compelling pictures that showed skill and bravery in documenting the unfolding terrorist attack at Westgate mall in Kenya.
948,2013,Breaking News Photography,Associated Press,"Rodrigo Abd, Manu Brabo, Narciso Contreras, Khalil Hamra and Muhammed Muheisen","For their compelling coverage of  the civil war in Syria, producing memorable images under extreme hazard."
949,2012,Breaking News Photography,Agence France-Presse,Massoud Hossaini,For his heartbreaking image of a girl crying in fear after a suicide bomber&#039;s attack at a crowded shrine in Kabul.
950,2011,Breaking News Photography,The Washington Post,"Carol Guzy, Nikki Kahn and Ricky Carioti",For their up-close portrait of grief and desperation after a catastrophic earthquake struck Haiti.
951,2010,Breaking News Photography,The Des Moines Register,Mary Chind,For her photograph of the heart-stopping moment when a rescuer dangling in a makeshift harness tries to save a woman trapped in the foaming water beneath a dam.
952,2009,Breaking News Photography,The Miami Herald,Patrick Farrell,"For his provocative, impeccably composed images of despair after Hurricane Ike and other lethal storms caused a humanitarian disaster in Haiti."
953,2008,Breaking News Photography,Reuters,Adrees Latif,"For his dramatic photograph of a Japanese videographer, sprawled on the pavement, fatally wounded during a street demonstration in Myanmar."
954,2007,Breaking News Photography,Associated Press,Oded Balilty,For his powerful photograph of a lone Jewish woman defying Israeli security forces as they remove illegal settlers in the West Bank.
955,2006,Breaking News Photography,The Dallas Morning News,Staff,For its vivid photographs depicting the chaos and pain after Hurricane Katrina engulfed New Orleans.
956,2005,Breaking News Photography,Associated Press,Staff,For its stunning series of photographs of bloody yearlong combat inside Iraqi cities.
957,2004,Breaking News Photography,The Dallas Morning News,David Leeson and Cheryl Diaz Meyer,For their eloquent photographs depicting both the violence and poignancy of the war with Iraq.
958,2003,Breaking News Photography,Rocky Mountain News,Photography Staff,"For its powerful, imaginative coverage of Colorado&#039;s raging forest fires."
959,2002,Breaking News Photography,The New York Times,Staff,For its consistently outstanding photographic coverage of the terrorist attack on New York City and its aftermath.
960,2001,Breaking News Photography,Associated Press,Alan Diaz,For his photograph of armed U.S. federal agents seizing the Cuban boy Elián Gonzalez from his relatives&#039; Miami home.
961,2000,Breaking News Photography,Rocky Mountain News,Photo Staff,For its powerful collection of emotional images taken after the student shootings at Columbine High School.
962,2020,Feature Photography,Associated Press,"Channi Anand, Mukhtar Khan and Dar Yasin of Associated Press",For striking images captured during a communications blackout in Kashmir depicting life in the contested territory as India stripped it of its semi-autonomy.
963,2019,Feature Photography,The Washington Post,Lorenzo Tugnoli of The Washington Post,"For brilliant photo storytelling of the tragic famine in Yemen, shown through images in which beauty and composure were intertwined with devastation. (Moved by the jury from Breaking News Photography, where it was originally entered.)"
964,2018,Feature Photography,,Photography Staff of Reuters,"For shocking photographs that exposed the world to the violence Rohingya refugees faced in fleeing Myanmar. (Moved by the Board from the Breaking News Photography category, where it was entered.)"
965,2017,Feature Photography,Chicago Tribune,E. Jason Wambsgans,For a superb portrayal of a 10-year-old boy and his mother striving to put the boy’s life back together after he survived a shooting in Chicago.
966,2016,Feature Photography,The Boston Globe,Jessica Rinaldi,For the raw and revealing photographic story of a boy who strives to find his footing after abuse by those he trusted.
967,2015,Feature Photography,The New York Times,"Daniel Berehulak, freelance photographer","For his gripping, courageous photographs of the Ebola epidemic in West Africa."
968,2014,Feature Photography,The New York Times,Josh Haner,For his moving essay on a Boston Marathon bomb blast victim who lost most of both legs and now is painfully rebuilding his life.
969,2013,Feature Photography,Agence France-Presse,Javier Manzano,"For his extraordinary picture, distributed by Agence France-Presse, of two Syrian rebel soldiers tensely guarding their position as beams of light stream through bullet holes in a nearby metal wall."
970,2012,Feature Photography,The Denver Post,Craig F. Walker,"For his compassionate chronicle of an honorably discharged veteran, home from Iraq and struggling with a severe case of post-traumatic stress, images that enable viewers to better grasp a national issue."
971,2011,Feature Photography,Los Angeles Times,Barbara Davidson,For her intimate story of innocent victims trapped in the city&#039;s crossfire of deadly gang violence.
972,2010,Feature Photography,The Denver Post,Craig F. Walker,"For his intimate portrait of a teenager who joins the Army at the height of insurgent violence in Iraq, poignantly searching for meaning and manhood."
973,2009,Feature Photography,The New York Times,Damon Winter,For his memorable array of pictures deftly capturing multiple facets of Barack Obama&#039;s presidential campaign.
974,2008,Feature Photography,Concord (NH) Monitor,Preston Gannaway,For her intimate chronicle of a family coping with a parent&#039;s terminal illness.
975,2007,Feature Photography,The Sacramento Bee,Renée C. Byer,For her intimate portrayal of a single mother and her young son as he loses his battle with cancer.
976,2006,Feature Photography,Rocky Mountain News,Todd Heisler,"For his haunting, behind-the-scenes look at funerals for Colorado Marines who return from Iraq in caskets."
977,2005,Feature Photography,San Francisco Chronicle,Deanne Fitzmaurice,For her sensitive photo essay on an Oakland hospital&#039;s effort to mend an Iraqi boy nearly killed by an explosion.
978,2004,Feature Photography,Los Angeles Times,Carolyn Cole,"For her cohesive, behind-the-scenes look at the effects of civil war in Liberia, with special attention to innocent citizens caught in the conflict."
979,2003,Feature Photography,Los Angeles Times,Don Bartletti,"For his memorable portrayal of how undocumented Central American youths, often facing deadly danger, travel north to the United States."
980,2002,Feature Photography,The New York Times,Staff,For its photographs chronicling the pain and the perseverance of people enduring protracted conflict in Afghanistan and Pakistan.
981,2001,Feature Photography,The Star-Ledger,Matt Rainey,For his emotional photographs that illustrate the care and recovery of two students critically burned in a dormitory fire at Seton Hall University.
982,2000,Feature Photography,The Washington Post,"Carol Guzy, Michael Williamson and Lucian Perkins",For their intimate and poignant images depicting the plight of the Kosovo refugees.
983,1999,Feature Photography,Associated Press,Photo Staff,For its striking collection of photographs of the key players and events stemming from President Clinton&#039;s affair with Monica Lewinsky and the ensuing impeachment hearings.
984,1998,Feature Photography,Los Angeles Times,Clarence Williams,For his powerful images documenting the plight of young children with parents addicted to alcohol and drugs.
985,1997,Feature Photography,Associated Press,Alexander Zemlianichenko,For his photograph of Russian President Boris Yeltsin dancing at a rock concert during his campaign for re-election. (Moved by the Board from the Spot News Photography category.)
986,1996,Feature Photography,,Stephanie Welsh,"For her shocking sequence of photos, published by Newhouse News Service, of a female circumcision rite in Kenya."
987,1995,Feature Photography,Associated Press,Staff,For its portfolio of photographs chronicling the horror and devastation in Rwanda.
